taxon_oid	16S rRNA Count 
2561511126	3
2526164587	1
2565956582	1
2534681906	6
2565956977	1
2571042301	1
2563366717	5
2554235249	1
2576861262	1
2615840716	1
2590828857	4
2565956782	1
2518645592	1
2507149015	4
2568526720	1
2513237281	1
2565956948	11
2515154077	1
2579778977	5
644736387	5
2609460170	18
646206271	1
2551306505	11
2597490375	4
2579778875	1
2537561546	1
2514752031	1
648276692	1
2558860229	4
642555147	1
2593339195	2
2547132159	1
2596583625	2
2554235067	1
2519103150	2
2585428094	1
2576861202	1
2574180319	1
2547132187	12
2518645550	1
2596583557	1
2526164682	1
2556921653	3
2600255043	1
2523533616	7
2585428009	1
2597489910	7
2562617101	1
2524614883	8
2609460245	1
2554235300	1
2511231052	1
2600255062	2
2228664006	1
2513237101	1
2537562011	2
2521172590	2
2554235018	2
640069307	6
2548876742	9
2574180353	1
2574180114	1
2565956879	10
2565956914	12
2513237387	1
650716044	2
645058863	1
2551306085	6
2521172627	9
2521172636	2
2615840592	1
650716078	2
2597490136	6
2585427979	1
2574180201	1
2597489917	1
2616644844	1
2531839037	1
2511231000	1
2576861001	1
648276616	1
2551306168	1
2609460278	1
2541047152	2
649989920	1
2579779064	1
2565956893	2
2565956985	5
2551306279	1
2506783025	1
2609459751	2
643348509	5
2597490179	4
2551306338	1
2540341146	1
650377902	4
2609460021	7
2596583572	1
2511231007	1
642555113	6
2513237082	2
2521172643	2
2508501050	1
643348502	6
2574179850	1
2537561556	7
2517572209	8
643692007	14
2521172624	1
2524614661	5
2511231122	5
2558860262	3
2516653048	1
2509276063	2
2597490103	6
2574180380	1
2576861499	1
2554235093	1
2519899735	3
2516653085	3
2523231079	7
641522612	2
2582581864	1
651324099	1
646564508	12
2537562208	1
2537561999	6
2526164657	1
2576861772	1
2579778545	3
2574180196	1
650377963	7
2561511129	1
2602041528	1
2554235021	3
2545824724	1
645951854	3
2597489907	1
2585427591	3
2554235214	1
2513237163	2
642555151	3
2585427531	1
2579778742	2
2565956925	10
2551306110	1
2519899788	1
2537561840	1
643886173	1
2548876687	1
2565956580	5
2548876929	1
2579778577	3
2582581023	1
2574179766	2
2524023149	1
2547132160	1
2554235306	1
2517572022	8
2519899559	1
645058838	1
648276626	1
2576861060	1
2531839707	1
2568526233	1
2554235242	1
641736250	10
2579779037	5
2585427528	1
2585427830	1
2515154196	1
2531839682	1
2518285588	4
2508501060	1
2585427704	1
2582580767	1
643348510	14
2556921011	6
2582581314	4
2579778935	1
2565956941	3
2563366513	11
2609459813	3
2609460008	1
2576861352	1
2582581312	1
2576861788	1
2519103183	2
651324043	1
2596583660	3
2545824565	4
2524614577	4
639633014	6
641522602	6
2582581301	8
2551306347	8
2565956706	1
2554235008	1
2565956907	2
2574180051	1
2597489954	4
2585427721	1
2582581281	2
2537561554	1
2574180344	1
2585427602	2
2517572150	9
2521172614	3
2505313052	1
2596583696	6
641522635	2
2582580967	2
2582580920	1
2568526534	1
2554235204	1
2558309150	1
2511231016	1
2565956965	9
2513237095	1
2534681815	1
649633007	3
2576861218	1
2576861181	1
2513237112	2
2512047018	1
648276701	1
2562617007	6
2585427529	1
2554235252	1
2609460069	1
2609459741	1
2593339259	2
2565957086	4
2541047117	10
2551306008	1
2554235292	1
2551306172	1
2551306029	1
2576861384	1
2600255398	1
649633092	3
2576861090	1
2579778732	1
2579779099	5
2534681777	4
2574180277	1
2558309093	4
2574180240	1
2574179941	1
2554235178	1
651053010	3
2558860231	4
2579778872	4
2524023087	8
2582580998	1
2576861059	1
2548877073	1
2558309083	9
2596583677	2
2526164623	1
2585427681	1
2574180264	1
2585427668	1
2565956798	2
2508501065	1
2551306466	1
2534681668	3
2541047519	3
649989909	1
2593339200	3
2518645599	1
2515154107	1
2561511166	2
2576861030	1
2540341118	4
2585427659	6
2576861021	1
2524614738	1
2576861148	1
2574179857	1
2517093011	3
2519899600	1
2576861725	4
2534681851	3
2521172631	3
2579779085	1
2554235060	11
2526164786	1
2541047481	1
2576861289	1
2522125057	1
2545824630	1
2537561852	4
2524614806	1
2511231155	6
2576861793	1
650716013	5
640427103	2
2574180142	1
2574179739	1
2615840624	1
2565956955	4
2510065055	1
2565956685	5
2576861478	13
2551306006	1
2537561901	2
2609460310	3
2554235193	3
2565957078	9
2522572177	2
2602042089	7
2531839070	1
2576861768	1
2551306146	1
2516493027	2
2582580841	2
2511231130	1
2600254970	2
2585427935	1
2579778885	1
2513237153	1
2579779094	2
2609460131	1
2609460088	1
2585428045	1
2568526322	1
2565956956	9
2565956599	5
2548876759	10
649633099	3
2585427673	2
2554235274	1
2576861285	1
2541047020	2
2574180401	1
2582581004	1
645058773	11
2574180207	1
2529293011	6
643886038	1
2576861701	1
648276719	2
2506783058	1
2597490204	9
2548876913	1
2554235271	1
2563367214	4
2551306281	1
2574180408	1
2515154148	1
2609460327	7
2524614862	3
2531839286	1
2562617130	3
2554235097	3
2585427955	1
2513237088	1
2519899826	5
2537561725	9
2574179965	1
2561511161	6
2554235076	3
2554235014	8
2554235132	4
2513237143	1
2554235019	5
2519103148	4
2561511189	5
2574179863	1
2608642243	1
2582580888	1
643886101	1
2609460200	2
2585427841	5
2579778965	1
642555162	4
2512047086	3
2551306318	1
2609459768	5
2563366605	6
2505313057	1
2537562224	7
648028004	6
2609459738	5
2596583649	2
2548876810	2
646564507	11
2576861074	1
640753006	13
2576861307	1
2596583585	1
2523533507	1
2554235054	1
648028010	2
2537561847	1
2563367154	2
2547132221	1
2519899798	2
2597489886	6
2522572060	8
2526164714	2
2576861656	2
2565956990	6
2534681909	8
2576861083	1
647533117	1
2597490269	1
2547132131	13
2524614547	1
2558860211	1
2524614536	3
2574180195	1
2554235341	5
2597490165	11
2551306104	7
2576861107	1
2565956946	5
2565956543	2
2590828861	2
2540341073	1
2568526295	1
2579778783	7
2537561923	1
2551306495	2
2574179837	1
2519899763	2
2519899668	1
2579779127	2
640427144	2
2504756061	1
2596583656	3
2551306340	3
2531839279	3
2561511195	13
2565956930	4
2551306177	1
2540341042	1
2514752000	3
2574179873	1
2597490125	4
2523231013	1
2597489926	2
2565956572	8
2554235063	3
2597490074	4
2531839634	7
2585427975	1
2574180031	1
2526164593	1
2574180366	1
2548876779	1
2562617041	1
650377901	6
2554235244	1
2526164655	1
2565956892	3
2518645536	3
651324106	2
2565956638	5
2541047100	1
2505679007	2
2574179830	1
2588253862	2
2517287029	3
2574180330	1
2511231127	3
2522572103	1
2615840541	3
2585427654	7
2565957132	4
2522125097	1
2582580790	5
2574179902	1
2537561970	2
2540341243	4
2554235288	1
2547132240	1
2526164708	1
2515154098	1
2574180118	1
2551306180	2
2548876762	10
2597490277	14
2571042798	9
2505313044	1
2600255059	1
2521172660	1
639633042	2
2551306276	2
2540341128	2
2509601034	4
2565956973	4
2513237178	1
641522641	1
2563366598	8
2531839458	6
648028033	3
2524614608	1
2574180154	1
2537561905	1
2519899843	3
2524023214	2
2565957091	5
2554235005	7
2609460189	1
2579778595	1
2554235053	1
2518645580	6
2574180394	1
2505313050	1
2563367150	4
2508501123	2
2551306161	1
2571042282	1
2545555865	4
2582580797	5
2609460097	14
2524023182	1
2523533568	1
2508501042	1
2582581024	3
2574179736	13
2513237086	1
2554235273	3
2576861213	1
2615840603	2
2554235375	2
2576861094	1
641522639	6
2597490370	1
2582580936	1
2521172690	3
2565956814	1
645058859	2
2608642165	2
2531839576	7
2507262027	2
2576861005	1
2574180104	1
2565956641	2
2515154142	1
646206250	1
2600255066	1
2615840523	1
2574179930	1
2522572201	3
2551306217	10
2579778528	6
2534681778	4
2603880217	7
2562617045	2
2565956897	7
2561511243	3
2551306036	1
2579779045	1
2548876508	1
2576861732	4
2540341000	5
2524614516	3
2511231022	1
2548877081	1
2537562155	1
2524614798	1
2576861805	1
2556921674	3
642555170	2
2576861298	1
2540341176	4
2517572239	6
2554235265	1
646862346	6
643886156	1
2551306323	1
2568526096	1
2548877066	1
2521172654	1
646564519	2
2551306422	1
2537561872	2
2593339236	4
2615840641	4
2574179811	1
2519899734	8
2519103017	1
2506783031	1
2574180388	1
2528768210	5
2600255075	1
2574179928	1
2534682196	8
2558860629	1
650716008	3
2576861167	1
2548876784	5
2554235227	1
641736173	10
2519103020	1
2529293010	4
2548876769	9
2524023247	3
2568526733	4
2609459735	2
2600255394	1
2582581317	3
2609460311	1
2576861338	1
2563367047	1
2600255070	1
2531839356	2
2609460213	1
2576861129	1
2615840696	6
2506783060	2
2565956908	9
2574180046	1
2585428059	11
2562617104	3
2565957082	4
2537561971	5
2565956794	1
2510065054	1
2554235059	9
2519103072	1
2517093031	3
2526164679	1
2531839311	3
2523533526	2
643348514	13
2576861314	1
2508501126	2
2565956863	1
2518645509	2
2526164627	1
2585427635	2
2576861471	3
2574179777	3
2554235211	1
2513237098	4
2576861375	1
649633031	5
2574179889	1
2600255231	5
2597490156	6
2582580891	1
2554235298	1
2568526750	20
645951812	2
2579778734	1
2576861325	1
2531839224	9
643348511	12
641522606	3
2574180411	1
2537562003	4
2522572063	1
2571042114	1
2574180244	1
645058717	2
2548876750	1
2551306410	1
2517434012	2
2574179748	7
2554235071	3
645058774	12
2574180007	1
2597489895	5
2565956761	4
2556921008	1
2551306461	3
640753040	1
2508501009	1
2576861279	1
2523533536	1
2534681695	7
2531839365	5
645058765	3
2609460032	1
2556921620	2
650716075	4
2547132184	2
2534682062	1
2510065059	1
2576861669	2
2519899778	4
2547132424	3
2596583599	2
2551306153	1
2541047118	7
641228477	14
2565956862	8
2548877034	1
2524023209	1
2574180197	1
2513237092	1
2576861310	1
2576861229	1
2510917022	1
2574180026	1
2582581379	3
2600255069	1
2551306295	1
2574180405	1
646206267	1
2571042919	9
2534682027	1
2582580777	6
2574179843	1
2582580974	1
2585427836	2
2579778861	6
2511231017	2
2531839408	2
2576861246	1
2579779026	1
2537561969	1
2547132140	6
2534682116	1
2565956989	7
2556921041	10
2531839248	3
2524023138	1
2568526620	1
643886077	1
2523533560	2
2576861274	1
2508501072	5
2576861291	1
2551306038	1
2593339199	9
2556921097	4
2517572124	1
2590828858	3
2609460120	10
644736386	5
2551306143	2
2540341200	2
2519103153	2
647000280	1
2574179970	1
2565956800	2
649633008	10
2524023129	8
2576861318	1
2565957073	6
2523533545	1
2599185106	1
2545824761	1
2579778519	3
2574179955	1
2565957130	5
2558860284	1
2603880186	1
2521172640	1
647000305	1
2609460204	1
2556921042	1
2582581241	4
2574180309	4
2585427645	5
2517434007	4
2534682020	8
2616644831	3
2537561811	1
2600255126	1
2596583576	1
2548877050	1
649633001	2
643886032	1
649633029	3
2518645587	5
2593339252	3
2516653027	1
2565956919	3
2534682200	2
2568526313	3
2554235239	1
2609460072	2
2585427608	1
2562617070	14
2554235080	1
2517572165	4
2574180418	1
2574180214	1
640753051	3
2609460308	1
2551306357	1
2516143111	3
2545824643	3
2558309035	4
2511231012	1
2531839589	6
2529293194	1
2513237199	3
2563366505	3
2576861391	1
2554235058	1
641522646	7
2585427800	1
2574180004	1
2565956871	1
2551306117	1
2579779008	1
2515154079	1
2517287015	2
2548877079	1
2551306416	1
2517572076	2
2513237146	1
2521172700	10
644736400	3
2561511090	3
2568526141	4
2551306011	1
649633010	10
649633087	2
650716086	3
2565956815	1
2519103124	2
643886126	1
2551306666	1
2526164590	1
2526164764	1
2522572192	2
2609460193	2
2579778922	1
2524614665	1
2579778893	2
2574180098	1
2521172560	1
2554235081	3
2519899590	1
644736332	3
2529293006	5
2565957137	1
2585427626	8
2547132260	1
2547132259	1
2565956548	6
648028027	2
2609459632	6
2597490294	1
2541046985	2
2585427643	9
2551306529	1
2508501055	1
2582581306	1
2574180370	1
2511231027	2
2545824567	4
2576861707	1
642555139	5
2565957087	1
2519899787	2
2513237140	1
649989991	1
2565956559	3
